lid,lat,lon,rfc,minor,moderate,major,code,date_produced
QUAO2,36.934444,94.746111,ABRFC,0.081100,0.051400,0.050000,1,1/26/2023
RAMO2,36.508889,95.841667,ABRFC,0.058000,0.050000,0.050000,1,1/26/2023
RCNK1,38.477222,99.437778,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
RIPO2,35.985893,96.912250,ABRFC,0.093900,0.050000,0.050000,1,1/26/2023
RLSO2,36.504167,96.728056,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
RNDO2,34.220925,98.453110,ABRFC,0.456100,0.219700,0.062600,1,1/26/2023
SALC2,38.545830,106.010569,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SANK1,38.189444,99.331111,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SASO2,34.965362,96.512511,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SCVC2,38.245558,104.486360,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SEDK1,37.883050,97.424160,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SEIO2,36.183373,98.921206,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SHAT2,35.264167,100.241389,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SNCN5,35.654722,104.378611,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SPCO2,35.988333,96.081944,ABRFC,0.108700,0.050000,0.050000,1,1/26/2023
SPEO2,36.278333,95.953889,ABRFC,0.128400,0.085500,0.050000,1,1/26/2023
SPGN5,36.360278,104.598056,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SPMT2,36.202222,101.305556,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SWDO2,35.813660,97.478097,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SWNO2,35.332848,96.960023,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
SYRK1,37.966667,101.756389,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
TALO2,35.925833,94.922500,ABRFC,0.552700,0.367700,0.147300,2,1/26/2023
TCMO2,35.172574,96.931966,ABRFC,0.148700,0.050000,0.050000,1,1/26/2023
TGAO2,36.054486,98.969541,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
